id;name;details;price;image
1;Alpha Widget;"High quality widget with multiple features";19.99;alpha1.jpg
2;Beta Gadget;"Compact gadget, ideal for travel";$25.00;beta2.jpg
3;Gamma Tool;"Durable tool with ergonomic handle";30,00;gamma3.jpg
4;Delta Device;"Advanced device with latest tech";€45.50;delta4.jpg
5;Epsilon Appliance;"Energy efficient appliance";$55;epsilon5.jpg
6;Zeta Instrument;"Precision instrument for professionals";60.75;zeta6.jpg
7;Eta Equipment;"Robust equipment for heavy use";70.00;eta7.jpg
8;Theta Machine;"Automated machine with smart AI";80;theta8.jpg
9;Iota Mechanism;"Reliable mechanism for all tasks";90,5;iota9.jpg
10;Kappa Apparatus;"Multi-purpose apparatus";$100;kappa10.jpg
11;Lambda Module;"Compact module with high power";110.25;lambda11.jpg
12;Mu System;"Integrated system for homes";$120.00;mu12.jpg
13;Nu Framework;"Flexible framework for developers";130;nu13.jpg
14;Xi Component;"Lightweight component for devices";140.99;xi14.jpg
15;Omicron Unit;"Powerful unit with extended warranty";150,75;omicron15.jpg
16;Pi Part;"Standard part for repairs";$160.00;pi16.jpg
17;Rho Element;"Essential element with high durability";170;rho17.jpg
18;Sigma Segment;"Segment with advanced materials";180.50;sigma18.jpg
19;Tau Section;"Section designed for maximum efficiency";$190;tau19.jpg
20;Upsilon Portion;"Small portion with big impact";200.00;upsilon20.jpg
21;Phi Block;"Block for construction purposes";210;phi21.jpg
22;Chi Piece;"Piece compatible with many models";$220.25;chi22.jpg
23;Psi Item;"Item with multi-functional use";230,99;psi23.jpg
24;Omega Object;"Object with sleek design";$240;omega24.jpg
25;Alpha2 Widget;"New generation widget";250.50;alpha25.jpg
26;Beta2 Gadget;"Improved gadget with better battery";260;beta26.jpg
27;Gamma2 Tool;"Tool with extra grip";$270.75;gamma27.jpg
28;Delta2 Device;"Device with updated software";280.00;delta28.jpg
29;Epsilon2 Appliance;"Appliance with smart sensors";290;epsilon29.jpg
30;Zeta2 Instrument;"Instrument with digital display";$300.99;zeta30.jpg
31;Eta2 Equipment;"Equipment with reinforced frame";310.00;eta31.jpg
32;Theta2 Machine;"Machine with enhanced speed";320;theta32.jpg
33;Iota2 Mechanism;"Mechanism with modular parts";$330.50;iota33.jpg
34;Kappa2 Apparatus;"Apparatus with user-friendly interface";340;kappa34.jpg
35;Lambda2 Module;"Module with increased capacity";$350;lambda35.jpg
36;Mu2 System;"System with cloud connectivity";360.75;mu36.jpg
37;Nu2 Framework;"Framework with flexible APIs";370;nu37.jpg
38;Xi2 Component;"Component with improved specs";$380.00;xi38.jpg
39;Omicron2 Unit;"Unit with longer lifespan";390;omicron39.jpg
40;Pi2 Part;"Part with higher tolerance";$400.25;pi40.jpg
41;Rho2 Element;"Element with corrosion resistance";410;rho41.jpg
42;Sigma2 Segment;"Segment with noise reduction";420.99;sigma42.jpg
43;Tau2 Section;"Section with aerodynamic design";$430;tau43.jpg
44;Upsilon2 Portion;"Portion with lightweight materials";440;upsilon44.jpg
45;Phi2 Block;"Block with fire resistance";$450.50;phi45.jpg
46;Chi2 Piece;"Piece with universal compatibility";460;chi46.jpg
47;Psi2 Item;"Item with multi-language support";$470.75;psi47.jpg
48;Omega2 Object;"Object with glossy finish";480;omega48.jpg
49;Alpha3 Widget;"Widget with improved sensors";$490;alpha49.jpg
50;Beta3 Gadget;"Gadget with wireless charging";500;beta50.jpg
51;Gamma3 Tool;"Tool with ergonomic grip";$510.99;gamma51.jpg
52;Delta3 Device;"Device with AI integration";520;delta52.jpg
53;Epsilon3 Appliance;"Appliance with smart thermostat";$530;epsilon53.jpg
54;Zeta3 Instrument;"Instrument with high precision";540.25;zeta54.jpg
55;Eta3 Equipment;"Equipment with reinforced parts";550;eta55.jpg
56;Theta3 Machine;"Machine with energy saver mode";$560.00;theta56.jpg
57;Iota3 Mechanism;"Mechanism with modular design";570;iota57.jpg
58;Kappa3 Apparatus;"Apparatus with touch controls";$580.75;kappa58.jpg
59;Lambda3 Module;"Module with extended memory";590;lambda59.jpg
60;Mu3 System;"System with remote monitoring";$600;mu60.jpg
61;Nu3 Framework;"Framework with REST APIs";610.99;nu61.jpg
62;Xi3 Component;"Component with low power consumption";620;xi62.jpg
63;Omicron3 Unit;"Unit with fast charging";$630;omicron63.jpg
64;Pi3 Part;"Part with high durability";640;pi64.jpg
65;Rho3 Element;"Element with heat resistance";$650.50;rho65.jpg
66;Sigma3 Segment;"Segment with shock absorption";660;sigma66.jpg
67;Tau3 Section;"Section with sleek design";$670;tau67.jpg
68;Upsilon3 Portion;"Portion with compact size";680;upsilon68.jpg
69;Phi3 Block;"Block with lightweight concrete";$690.75;phi69.jpg
70;Chi3 Piece;"Piece with easy installation";700;chi70.jpg
71;Psi3 Item;"Item with enhanced security";$710.00;psi71.jpg
72;Omega3 Object;"Object with matte finish";720;omega72.jpg
73;Alpha4 Widget;"Widget with longer battery";$730;alpha73.jpg
74;Beta4 Gadget;"Gadget with voice control";740;beta74.jpg
75;Gamma4 Tool;"Tool with replaceable blades";$750.50;gamma75.jpg
76;Delta4 Device;"Device with gesture support";760;delta76.jpg
77;Epsilon4 Appliance;"Appliance with quiet operation";$770.25;epsilon77.jpg
78;Zeta4 Instrument;"Instrument with auto calibration";780;zeta78.jpg
79;Eta4 Equipment;"Equipment with safety locks";$790;eta79.jpg
80;Theta4 Machine;"Machine with multi-speed settings";800;theta80.jpg
81;Iota4 Mechanism;"Mechanism with self-lubrication";$810;iota81.jpg
82;Kappa4 Apparatus;"Apparatus with LED indicators";820;kappa82.jpg
83;Lambda4 Module;"Module with backup power";$830.75;lambda83.jpg
84;Mu4 System;"System with mobile app";840;mu84.jpg
85;Nu4 Framework;"Framework with plugins";$850;nu85.jpg
86;Xi4 Component;"Component with waterproof design";860;xi86.jpg
87;Omicron4 Unit;"Unit with noise cancellation";$870;omicron87.jpg
88;Pi4 Part;"Part with adjustable settings";880;pi88.jpg
89;Rho4 Element;"Element with UV protection";$890.50;rho89.jpg
90;Sigma4 Segment;"Segment with quick release";900;sigma90.jpg
91;Tau4 Section;"Section with reinforced edges";$910;tau91.jpg
92;Upsilon4 Portion;"Portion with anti-slip surface";920;upsilon92.jpg
93;Phi4 Block;"Block with thermal insulation";$930.99;phi93.jpg
94;Chi4 Piece;"Piece with magnetic attachment";940;chi94.jpg
95;Psi4 Item;"Item with customizable options";$950;psi95.jpg
96;Omega4 Object;"Object with scratch-resistant coating";960;omega96.jpg
97;Alpha5 Widget;"Widget with solar charging";$970.50;alpha97.jpg
98;Beta5 Gadget;"Gadget with NFC support";980;beta98.jpg
99;Gamma5 Tool;"Tool with lightweight frame";$990;gamma99.jpg
100;Delta5 Device;"Device with dual cameras";1000;delta100.jpg
